Domain,AN Pass,GD Pass,AN Errors, GD Errors
yeh.so,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xy.si,true,false,,REGISTRAR;REG_DATE;EXP_DATE
portalix.at,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
true,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
you.men,true,true,,
you.golf,true,true,,
Yay.osaka,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
yakatoot.kp,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
y.cg,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xy.si,true,false,,REGISTRAR;REG_DATE;EXP_DATE
xn--wlq142f2xbiz4d.xn--55qx5d,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--vt6b.xn--t60b56a,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--vhquv.xn--vhquv,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--tckwe.xn--tckwe,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--s1aal.xn--80adxhks,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--olcsbban-y3a.hu,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--ogbaxlx4cshc.xn--ngbc5azd,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--oby23q.xn--6qq986b3xl,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--nqv7f.xn--nqv7f,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--mgbu9cnf.xn--mgbab2bd,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--kcrr60g.xn--io0a7i,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--Ideal-7fd.az,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--h1ah.xn--j1amh,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--fjq720a.xn--fjq720a,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--efv.xn--rhqv96g,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--czrs0t.xn--czrs0t,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--cpqw57q.xn--fiqs8s,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--c2bna3cmhll5cie1ff3d.xn--11b4c3d,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--80as4b.xn--90ae,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--80akjeepbkum8a.xn--p1ai,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--80ahccnmkfk4c3f.xn--80asehdb,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--80aapfnbuimesm6d7b.xn--p1acf,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--80aab1bo.xn--c1avg,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--7or27v2x4aplm.xn--kpry57d,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
xn--7or27v2x4aplm.xn--j6w193g,false,false,REGISTRAR;REG_DATE;EXP_DATE,REGISTRAR;REG_DATE;EXP_DATE
